X Y Z
-5.75591e+10 1.24523e+11 5.3994e+10
-5.76618e+10 1.24483e+11 5.39761e+10
-5.77644e+10 1.24442e+11 5.39581e+10
-5.78669e+10 1.24401e+11 5.39401e+10
-5.79694e+10 1.2436e+11 5.39221e+10
-5.80718e+10 1.24318e+11 5.3904e+10
-5.81741e+10 1.24277e+11 5.38859e+10
-5.82764e+10 1.24236e+11 5.38678e+10
-5.83787e+10 1.24195e+11 5.38496e+10
-5.84808e+10 1.24153e+11 5.38314e+10
-5.8583e+10 1.24112e+11 5.38132e+10
-5.8685e+10 1.2407e+11 5.3795e+10
-5.8787e+10 1.24028e+11 5.37767e+10
-5.8889e+10 1.23987e+11 5.37583e+10
-5.89909e+10 1.23945e+11 5.374e+10
-5.90927e+10 1.23903e+11 5.37216e+10
-5.91945e+10 1.23861e+11 5.37031e+10
-5.92962e+10 1.23819e+11 5.36847e+10
-5.93979e+10 1.23777e+11 5.36662e+10
-5.94995e+10 1.23735e+11 5.36477e+10
-5.9601e+10 1.23692e+11 5.36291e+10
-5.97025e+10 1.2365e+11 5.36105e+10
-5.98039e+10 1.23608e+11 5.35919e+10
-5.99053e+10 1.23565e+11 5.35732e+10
-6.00066e+10 1.23523e+11 5.35546e+10
-6.01079e+10 1.2348e+11 5.35358e+10
-6.02091e+10 1.23437e+11 5.35171e+10
-6.03102e+10 1.23395e+11 5.34983e+10
-6.04113e+10 1.23352e+11 5.34795e+10
-6.05123e+10 1.23309e+11 5.34607e+10
-6.06133e+10 1.23266e+11 5.34418e+10
-6.07142e+10 1.23223e+11 5.34229e+10
-6.0815e+10 1.2318e+11 5.34039e+10
-6.09158e+10 1.23136e+11 5.3385e+10
-6.10165e+10 1.23093e+11 5.3366e+10
-6.11172e+10 1.2305e+11 5.33469e+10
-6.12178e+10 1.23006e+11 5.33279e+10
-6.13184e+10 1.22963e+11 5.33088e+10
-6.14189e+10 1.22919e+11 5.32897e+10
-6.15194e+10 1.22876e+11 5.32705e+10
-6.16197e+10 1.22832e+11 5.32513e+10
-6.17201e+10 1.22788e+11 5.32321e+10
-6.18203e+10 1.22745e+11 5.32129e+10
-6.19206e+10 1.22701e+11 5.31936e+10
-6.20207e+10 1.22657e+11 5.31743e+10
-6.21208e+10 1.22613e+11 5.3155e+10
-6.22208e+10 1.22569e+11 5.31356e+10
-6.23208e+10 1.22524e+11 5.31162e+10
-6.24208e+10 1.2248e+11 5.30968e+10
-6.25206e+10 1.22436e+11 5.30773e+10
-6.26204e+10 1.22392e+11 5.30578e+10
-6.27202e+10 1.22347e+11 5.30383e+10
-6.28199e+10 1.22303e+11 5.30188e+10
-6.29195e+10 1.22258e+11 5.29992e+10
-6.30191e+10 1.22213e+11 5.29796e+10
-6.31186e+10 1.22169e+11 5.296e+10
-6.32181e+10 1.22124e+11 5.29403e+10
-6.33175e+10 1.22079e+11 5.29206e+10
-6.34168e+10 1.22034e+11 5.29009e+10
-6.35161e+10 1.21989e+11 5.28812e+10
-6.36153e+10 1.21944e+11 5.28614e+10
-6.37145e+10 1.21899e+11 5.28416e+10
-6.38136e+10 1.21854e+11 5.28218e+10
-6.39127e+10 1.21809e+11 5.28019e+10
-6.40117e+10 1.21763e+11 5.2782e+10
-6.41106e+10 1.21718e+11 5.27621e+10
-6.42095e+10 1.21673e+11 5.27422e+10
-6.43083e+10 1.21627e+11 5.27222e+10
-6.44071e+10 1.21581e+11 5.27022e+10
-6.45058e+10 1.21536e+11 5.26821e+10
-6.46045e+10 1.2149e+11 5.26621e+10
-6.47031e+10 1.21444e+11 5.2642e+10
-6.48016e+10 1.21399e+11 5.26219e+10
-6.49001e+10 1.21353e+11 5.26018e+10
-6.49985e+10 1.21307e+11 5.25816e+10
-6.50969e+10 1.21261e+11 5.25614e+10
-6.51952e+10 1.21215e+11 5.25412e+10
-6.52934e+10 1.21168e+11 5.25209e+10
-6.53916e+10 1.21122e+11 5.25006e+10
-6.54898e+10 1.21076e+11 5.24803e+10
-6.55878e+10 1.2103e+11 5.246e+10
-6.56859e+10 1.20983e+11 5.24396e+10
-6.57838e+10 1.20937e+11 5.24192e+10
-6.58817e+10 1.2089e+11 5.23988e+10
-6.59796e+10 1.20844e+11 5.23784e+10
-6.60774e+10 1.20797e+11 5.23579e+10
-6.61751e+10 1.2075e+11 5.23374e+10
-6.62728e+10 1.20704e+11 5.23169e+10
-6.63704e+10 1.20657e+11 5.22964e+10
-6.64679e+10 1.2061e+11 5.22758e+10
-6.65654e+10 1.20563e+11 5.22552e+10
-6.66629e+10 1.20516e+11 5.22345e+10
-6.67602e+10 1.20469e+11 5.22139e+10
-6.68576e+10 1.20422e+11 5.21932e+10
-6.69548e+10 1.20374e+11 5.21725e+10
-6.70521e+10 1.20327e+11 5.21518e+10
-6.71492e+10 1.2028e+11 5.2131e+10
-6.72463e+10 1.20232e+11 5.21102e+10
-6.73433e+10 1.20185e+11 5.20894e+10
-6.74403e+10 1.20137e+11 5.20686e+10
-6.75372e+10 1.2009e+11 5.20477e+10
-6.76341e+10 1.20042e+11 5.20268e+10
-6.77309e+10 1.19995e+11 5.20059e+10
-6.78277e+10 1.19947e+11 5.1985e+10
-6.79243e+10 1.19899e+11 5.1964e+10
-6.8021e+10 1.19851e+11 5.1943e+10
-6.81176e+10 1.19803e+11 5.1922e+10
-6.82141e+10 1.19755e+11 5.19009e+10
-6.83105e+10 1.19707e+11 5.18799e+10
-6.84069e+10 1.19659e+11 5.18588e+10
-6.85033e+10 1.19611e+11 5.18377e+10
-6.85996e+10 1.19563e+11 5.18165e+10
-6.86958e+10 1.19514e+11 5.17953e+10
-6.8792e+10 1.19466e+11 5.17741e+10
-6.88881e+10 1.19418e+11 5.17529e+10
-6.89841e+10 1.19369e+11 5.17317e+10
-6.90801e+10 1.19321e+11 5.17104e+10
-6.91761e+10 1.19272e+11 5.16891e+10
